title,desc,location,date,imageurl,cluster,tags,rate
Nubra Ecolodge,Preparation of Fresh butter from milk,Ladakh,,images/photographs/stories/ladakhdiaries/63.jpg,ladakh,,
,,Ladakh,,images/photographs/stories/ladakhdiaries/64.jpg,ladakh,,
Near Bogdan,Somwhere near Bogdan,Ladakh,,images/photographs/stories/ladakhdiaries/65.jpg,ladakh,,
A Gorkha Post,Somwhere near Bogdan,Ladakh,,images/photographs/stories/ladakhdiaries/66.jpg,ladakh,,
The Line of Control,This face of the mountain is the LOC. Amongst the clouds are Pakistan Bunkers and constant vigilance over India.,Ladakh,,images/photographs/stories/ladakhdiaries/67.jpg,ladakh,,
Tyaksi Thang,The northernmost village of India,Ladakh,,images/photographs/stories/ladakhdiaries/68.jpg,ladakh,,
Turtuk,,Ladakh,,images/photographs/stories/ladakhdiaries/69.jpg,ladakh,,
The quiet little village of Turuk,,Ladakh,,images/photographs/stories/ladakhdiaries/70.jpg,ladakh,,
Golden Harvest,Turtuk,Ladakh,,images/photographs/stories/ladakhdiaries/71.jpg,ladakh,,
The underground bylanes,Turtuk,Ladakh,,images/photographs/stories/ladakhdiaries/72.jpg,ladakh,bw,
The natural Cold Storage of Turtuk,,Ladakh,,images/photographs/stories/ladakhdiaries/73.jpg,ladakh,,
Authentic Balti Dishes,Balti Kitchen,Ladakh,,images/photographs/stories/ladakhdiaries/74.jpg,ladakh,,
"Bonfire by our host, Zakaria Bhai.",Khatrdari toh koi inse sikhey!,Ladakh,,images/photographs/stories/ladakhdiaries/75.jpg,ladakh,,
Mulberries,,Ladakh,,images/photographs/stories/ladakhdiaries/76.jpg,ladakh,,
Turtuk,,Ladakh,,images/photographs/stories/ladakhdiaries/77.jpg,ladakh,,
Turtuk,,Ladakh,,images/photographs/stories/ladakhdiaries/78.jpg,ladakh,,
Before our journey to Khardungla,,Ladakh,,images/photographs/stories/ladakhdiaries/79.jpg,ladakh,,
Nubra Cold Desert,,Ladakh,,images/photographs/stories/ladakhdiaries/80.jpg,ladakh,,
Khardung,,Ladakh,,images/photographs/stories/ladakhdiaries/81.jpg,ladakh,,
Khardung La (5359m),The highest most motorable road of the world. ,Ladakh,,images/photographs/stories/ladakhdiaries/82.jpg,ladakh,,
Khardung La,,Ladakh,,images/photographs/stories/ladakhdiaries/83.jpg,ladakh,,
Coming down from Khardungla towards Leh,,Ladakh,,images/photographs/stories/ladakhdiaries/84.jpg,ladakh,,
Likhir,,Ladakh,,images/photographs/stories/ladakhdiaries/85.jpg,ladakh,,
Lamayuru Village,,Ladakh,,images/photographs/stories/ladakhdiaries/86.jpg,ladakh,,
Lamayuru Gompa,,Ladakh,,images/photographs/stories/ladakhdiaries/87.jpg,ladakh,,
Lamayuru Gompa,,Ladakh,,images/photographs/stories/ladakhdiaries/88.jpg,ladakh,,
Kargil,The wonderful Russian Artist at Hotel Rangyul in Kargil,Ladakh,,images/photographs/stories/ladakhdiaries/89.jpg,ladakh,,
